Location ,Part code,updated_loc,
GF/A/001,SAMPLE RACKS,GF/A/001-A
GF/A/002,SAMPLE RACKS,GF/A/002-A
GF/A/003,SAMPLE RACKS,GF/A/003-A
GF/A/004,SAMPLE RACKS,GF/A/004-A
GF/A/005,100 % INSPECTION LOCATION,GF/A/005-A
GF/A/006,100 % INSPECTION LOCATION,GF/A/006-A
GF/A/007,100 % INSPECTION LOCATION,GF/A/007-A
GF/A/008,100 % INSPECTION LOCATION,GF/A/008-A
GF/A/009,100 % INSPECTION LOCATION,GF/A/009-A
GF/A/010,100 % INSPECTION LOCATION,GF/A/010-A
GF/A/011,100 % INSPECTION LOCATION,GF/A/011-A
GF/A/012,100 % INSPECTION LOCATION,GF/A/012-A
2F/B/317,12019223,2F/B/317-B
2F/B/317,12019305,2F/B/317-C
2F/B/317,12019307,2F/B/317-D
2F/B/318,12019306,2F/B/318-A
2F/B/318,12019304,2F/B/318-B
2F/B/319,12019017,2F/B/319-A
2F/B/319,12022616,2F/B/319-B
2F/B/319,12022598,2F/B/319-C
2F/B/320,12019205,2F/B/320-A
2F/B/320,12019041,2F/B/320-B
2F/B/321,12012646,2F/B/321-A
2F/B/322,12003925,2F/B/322-A
2F/B/322,12000214,2F/B/322-B
2F/B/323,12000723,2F/B/323-A
2F/B/323,12000216,2F/B/323-B
2F/B/324,12012648,2F/B/324-A
2F/C/325,12033480,2F/C/325-A
2F/C/326,12033480,2F/C/326-A
2F/C/327,12012647,2F/C/327-A
2F/C/328,12012649,2F/C/328-A
2F/C/328,12012650,2F/C/328-B
2F/C/329,12004281,2F/C/329-A
2F/C/330,12004280,2F/C/330-A
2F/C/330,12019310,2F/C/330-B
2F/C/331,12004282,2F/C/331-A
2F/C/331,12027920,2F/C/331-B
2F/C/331,12009485,2F/C/331-C
2F/C/331,12009455,2F/C/331-D
2F/C/332,12009484,2F/C/332-A
2F/C/332,12009391,2F/C/332-B
2F/C/333,12004303,2F/C/333-A
2F/C/333,16003811,2F/C/333-B
2F/C/333,12009390,2F/C/333-C
2F/C/334,12014051,2F/C/334-A
2F/C/334,12008979,2F/C/334-B
2F/C/334,12019989,2F/C/334-C
2F/C/335,12034003,2F/C/335-A
2F/C/335,12028601,2F/C/335-B
2F/C/335,12019985,2F/C/335-C
2F/C/336,12019263,2F/C/336-A
2F/C/336,12014987,2F/C/336-B
2F/C/336,12019267,2F/C/336-C
2F/C/336,12014058,2F/C/336-D
2F/C/337,12028434,2F/C/337-A
2F/C/338,12028434,2F/C/338-A
2F/C/339,12014086,2F/C/339-A
2F/C/339,12014811,2F/C/339-B
2F/C/340,12025151,2F/C/340-A
2F/C/340,12014815,2F/C/340-B
2F/C/340,12021540,2F/C/340-C
2F/C/340,12019986,2F/C/340-D
2F/C/341,12014050,2F/C/341-A
2F/C/342,12014050,2F/C/342-A
2F/C/343,12014052,2F/C/343-A
2F/C/343,12021556,2F/C/343-B
2F/C/343,16023694,2F/C/343-C
2F/C/344,12019987,2F/C/344-A
2F/C/344,12020528,2F/C/344-B
2F/C/344,12014819,2F/C/344-C
2F/D/345,16018033,2F/D/345-A
2F/D/346,12020531,2F/D/346-A
2F/D/346,12014812,2F/D/346-B
2F/D/346,12023854,2F/D/346-C
2F/D/347,12022996,2F/D/347-A
2F/D/347,12025266,2F/D/347-B
2F/D/348,12020526,2F/D/348-A
2F/D/348,12014814,2F/D/348-B
2F/D/348,12014810,2F/D/348-C
2F/D/349,12022990,2F/D/349-A
2F/D/350,12019992,2F/D/350-A
2F/D/350,12014091,2F/D/350-B
2F/D/350,12024803,2F/D/350-C
2F/D/350,12024415,2F/D/350-D
2F/D/351,12020527,2F/D/351-A
2F/D/351,12025648,2F/D/351-B
2F/D/351,12020529,2F/D/351-C
2F/D/351,12020530,2F/D/351-D
